"","WatchingDate","Titles","value"
"1","4/29/18","Sherlock: Series 4: ""The Six Thatchers""","https://www.netflix.com/title/80082998"
"2","4/26/18","Friends: Season 9: ""The One with the Memorial Service""","https://www.netflix.com/title/70274207"
"3","4/26/18","Friends: Season 9: ""The One with the Boob Job""","https://www.netflix.com/title/70274206"
"4","4/26/18","Friends: Season 9: ""The One with the Mugging""","https://www.netflix.com/title/70274205"
"5","4/26/18","Friends: Season 9: ""The One Where Rachel Goes Back to Work""","https://www.netflix.com/title/70274201"
"6","4/26/18","Friends: Season 9: ""The One with Christmas in Tulsa""","https://www.netflix.com/title/70274200"
"7","4/26/18","Friends: Season 9: ""The One with Rachel's Phone Number""","https://www.netflix.com/title/70274199"
"8","4/26/18","Friends: Season 9: ""The One with Rachel's Other Sister""","https://www.netflix.com/title/70274198"
"9","4/26/18","Friends: Season 9: ""The One with Ross' Inappropriate Song""","https://www.netflix.com/title/70274197"
"10","4/26/18","Friends: Season 10: ""The One with the Birth Mother""","https://www.netflix.com/title/70274223"
"11","4/25/18","Friends: Season 10: ""The One with Ross's Grant""","https://www.netflix.com/title/70274220"
"12","4/25/18","Friends: Season 10: ""The One Where Rachel's Sister Babysits""","https://www.netflix.com/title/70274219"
"13","4/25/18","Friends: Season 10: ""The One with the Late Thanksgiving""","https://www.netflix.com/title/70274222"
"14","4/25/18","Friends: Season 10: ""The One with the Cake""","https://www.netflix.com/title/70274218"
"15","4/25/18","Friends: Season 9: ""The One with the Male Nanny""","https://www.netflix.com/title/70274196"
"16","4/24/18","Friends: Season 9: ""The One with Phoebe's Birthday Dinner""","https://www.netflix.com/title/70274195"
"17","4/24/18","Friends: Season 9: ""The One with the Sharks""","https://www.netflix.com/title/70274194"
"18","4/23/18","Jab We Met","https://www.netflix.com/title/70085612"
"19","4/23/18","Friends: Season 9: ""The One with the Pediatrician""","https://www.netflix.com/title/70274193"
"20","4/23/18","Friends: Season 9: ""The One Where Emma Cries""","https://www.netflix.com/title/70274192"
"21","4/23/18","Friends: Season 9: ""The One Where No One Proposes""","https://www.netflix.com/title/70274191"
"22","4/23/18","Captain America: Civil War","https://www.netflix.com/title/80088567"
"23","4/22/18","Power Rangers S.P.D.: Season 1: ""Stakeout""","https://www.netflix.com/title/70182583"
"24","4/22/18","Power Rangers S.P.D.: Season 1: ""Sam: Part 1""","https://www.netflix.com/title/70182580"
"25","4/22/18","Sherlock: Series 2: ""A Scandal in Belgravia""","https://www.netflix.com/title/70229981"
"26","4/22/18","Sherlock: Series 1: ""The Great Game""","https://www.netflix.com/title/70174781"
"27","4/21/18","Power Rangers S.P.D.: Season 1: ""A-Bridged""","https://www.netflix.com/title/70182579"
"28","4/21/18","The Honeymoon Stand Up Special: Collection: ""Natasha""","https://www.netflix.com/title/80213717"
"29","4/20/18","Black Mirror: Season 4: ""Crocodile""","https://www.netflix.com/title/80131568"
"30","4/20/18","Black Mirror: Season 4: ""Arkangel""","https://www.netflix.com/title/80131566"
"31","4/20/18","Black Mirror: Season 4: ""USS Callister""","https://www.netflix.com/title/80131567"
"32","4/20/18","Dude","https://www.netflix.com/title/80192186"
"33","4/19/18","Pokémon the Series: Season 1: ""Alola to New Adventure!""","https://www.netflix.com/title/80186511"
"34","4/19/18","Power Rangers S.P.D.: Season 1: ""Dogged""","https://www.netflix.com/title/70182578"
"35","4/19/18","Power Rangers S.P.D.: Season 1: ""Walls""","https://www.netflix.com/title/70182577"
"36","4/19/18","Sherlock: Series 1: ""The Blind Banker""","https://www.netflix.com/title/70174780"
