Titles,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,imdbRating,imdbVotes,imdbID,Type
Sherlock,2010â€“,TV-14,24 Oct 2010,88,"Crime, Drama, Mystery",N/A,"Mark Gatiss, Steven Moffat","Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,English,"UK, USA",9.2,"634,582",tt1475582,series
Friends,1994â€“2004,TV-14,22 Sep 1994,22,"Comedy, Romance",N/A,"David Crane, Marta Kauffman","Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc",Follows the personal and professional lives of six 20 to 30-something-year-old friends living in Manhattan.,"English, Dutch, Italian, French",USA,8.9,"581,484",tt0108778,series
Jab We Met,2007,NOT RATED,26 Oct 2007,138,"Comedy, Drama, Romance",Imtiaz Ali,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor Khan, Tarun Arora, Dara Singh",A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,"Hindi, Panjabi, English",India,8.0,"38,141",tt1093370,movie
Captain America: Civil War,2016,PG-13,06 May 2016,147,"Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Joe Simon (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",Political involvement in the Avengers' activities causes a rift between Captain America and Iron Man.,"English, German, Xhosa, Russian, Romanian, Hindi","USA, Germany",7.8,"473,896",tt3498820,movie
Power Rangers S.P.D.,2005,TV-Y7,05 Feb 2005,22,"Action, Adventure, Sci-Fi",N/A,N/A,"Brandon Jay McLaren, Chris Violette, Matt Sadowski, Monica May","Fifteen years into the future, Earth has welcomed alien beings to live with humans. But peace is short lived, as a planet conquering alien force turns its destructive attention to Earth! ...",English,"USA, New Zealand",6.3,"1,828",tt0414762,series
The Honeymoon Stand Up Special: Collection: Natasha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Mirror,2011â€“,TV-MA,04 Dec 2011,60,"Drama, Sci-Fi, Thriller",N/A,Charlie Brooker,"Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones","An anthology series exploring a twisted, high-tech world where humanity's greatest innovations and darkest instincts collide.",English,UK,8.9,"215,984",tt2085059,series
Dude,1979,N/A,14 Mar 1979,70,Adult,Wallace Potts,"Karl Forest, Wallace Potts","Karl Forest, Frank Chazal, CÃ©dric Dumont, Carmelo Petix",N/A,French,France,8.1,20,tt0211229,movie
Pokémon the Series,2013â€“,TV-Y,18 Jan 2014,23,Animation,N/A,N/A,"Ikue Ã”tani, David Errigo Jr.","Ash Ketchum continues his journey on to the Kalos region, and makes new friends such as Serena a childhood friend he known since he was a kid in Pallet town, Clemont, a gym leader and an ...",Japanese,Japan,7.3,574,tt3712502,series
The Boss Baby: Back in Business,2018â€“,TV-Y7,06 Apr 2018,25,"Animation, Comedy, Family",N/A,N/A,David W. Collins,"With a little help from his brother and accomplice, Tim, Boss Baby tries to balance family life with his job at Baby Corp headquarters.",English,USA,N/A,N/A,tt7741824,series
Swades,2004,NOT RATED,17 Dec 2004,189,Drama,Ashutosh Gowariker,"M.G. Sathya (story), Ashutosh Gowariker (story), Ashutosh Gowariker (screenplay), Sameer Sharma (screenplay), Lalit Marathe (screenplay), Amin Hajee (screenplay), Charlotte Whitby-Coles (screenplay), Yashodeep Nigudkar (screenplay), Ayan Mukherjee (screenplay), K.P. Saxena (dialogue)","Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smit Sheth",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,"Hindi, English",India,8.3,"68,081",tt0367110,movie
Rush Hour 3,2007,PG-13,10 Aug 2007,91,"Action, Comedy, Crime",Brett Ratner,"Jeff Nathanson, Ross LaManna (characters)","Chris Tucker, Jackie Chan, Max von Sydow, Hiroyuki Sanada","After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders.","English, French, Japanese, Mandarin, Latin","USA, Germany",6.2,"132,918",tt0293564,movie
Redemption,2013,R,28 Jun 2013,100,"Action, Crime, Drama",Steven Knight,Steven Knight,"Jason Statham, Agata Buzek, Vicky McClure, Benedict Wong","Homeless and on the run from a military court martial, a damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity -- transforming into an avenging angel in the process.","English, Polish, Cantonese, Italian, English","UK, USA",6.2,"57,649",tt1893256,movie
Phir Bhi Dil Hai Hindustani,2000,N/A,21 Jan 2000,160,"Comedy, Drama, Musical",Aziz Mirza,"Sanjay Chhel (dialogue), Raaj Kumar Dahima, Manoj Lalwani","Shah Rukh Khan, Juhi Chawla, Johnny Lever, Paresh Rawal","In order to seek justice for a man who exacts vengeance on a politician, who was responsible for his daughter's death, two rival reporters teams up to help him to prove his innocence.",Hindi,India,6.3,"5,247",tt0222270,movie
The Last Heist,2016,TV-MA,17 Jun 2016,84,"Action, Horror, Thriller",Mike Mendez,Guy Stevenson,"Henry Rollins, Torrance Coombs, Victoria Pratt, Mykel Shannon Jenkins",A bank Robbery goes terribly wrong when one of the hostages turns out to be a wanted serial killer,English,USA,3.5,"1,837",tt4743562,movie
